State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
LA,0.35552312782446827,-0.6774048305365493,No,No,-0.5910858161891493,0.0405210682776757,-0.2094322424300216,0.04098921307363063,3.0135398484015097,-1.1010312437469365,3.0144682704018213,0.3307603548535218,-0.5082180661596479,0.3302595932850242,-0.5871409076366108,-0.20420613107689814,-0.5866092078465164,-0.41814211732681283,False
IN,-0.9210558266284825,-0.5101672105171906,No,No,-0.5910858161891493,-0.9627272560482185,1.799974494336989,-0.962471554131804,0.5188601358673736,-0.938153754312066,0.5182486798028967,0.18657091599279677,0.5383726005266734,0.1883695902410156,0.8805664456419934,0.6997273022914688,0.8811805544409905,1.9953894352677697,True
NY,1.435705320053888,-0.5101672105171906,No,No,-0.5910858161891493,2.7279227168329587,-1.7164872950052796,2.7275370420461424,2.328566864781251,-0.17805880361600393,2.327829070695527,-0.8062763630196245,1.3856126640346478,-0.8048604310670427,-1.7979994740914587,2.0556274523440194,-1.7961766971389992,1.9953894352677697,True
SC,0.2082255561568201,-0.5101672105171906,No,No,-0.5910858161891493,-1.301368838447031,0.09197876808503004,-1.3012194564368234,-1.3293509915340327,0.09340367877544681,-1.3294783332956395,-0.20892011631090648,0.239346695759153,-0.20983783765668568,-0.9540677459562614,0.6997273022914688,-0.9535566484183932,0.3863684002047146,False
HI,-1.3138493510755442,1.7594862040312478,No,No,-0.5910858161891493,-1.1401971762358316,0.7952711259534838,-1.140367465090729,0.24730279916585102,0.4734511541234778,0.2464539965858216,-0.43344367110832127,-0.5082180661596479,-0.4341155844036667,0.2934835043305519,-1.5601062811294486,0.2967827787154089,-0.41814211732681283,False
AK,-1.632994089688782,-0.6774048305365493,No,Yes,1.5800398413412076,-0.651249436943428,1.3478579785644118,-0.6514200211976352,-0.8186610747520654,-1.1010312437469365,-0.8192672612916566,-1.4510091396397231,0.4386972989374999,-1.4502310900736615,1.5410347546173655,0.6997273022914688,1.547122205849211,-1.2226526348583402,False
MI,-0.9210558266284825,-0.5101672105171906,No,No,-0.5910858161891493,0.5258469724642095,0.9459766312110096,0.5256756770635168,-0.8166345274632482,1.1792536083412497,-0.8168830974037875,-1.3397772868043072,0.8872361560887805,-1.3403807651363648,1.064029864801819,0.24776058560728534,1.0578589517533754,1.190878917736242,False
ID,0.404622318380351,-0.5101672105171906,No,No,-0.5910858161891493,-0.41945199016777046,0.644565620695958,-0.4191966164728107,0.5756034599542591,0.907791125949799,0.5754686131117542,-1.1646901110448553,-0.45838041536506124,-1.1664510839856446,-0.5504482238046451,-0.6561728477610816,-0.5458372700051971,2.799899952799297,True
VA,-2.2712835669152573,-0.6774048305365493,No,No,-0.5910858161891493,0.06949574912463283,0.5440952838576074,0.06975082742028317,-0.2573074757496647,-1.8611261944429986,-0.2566045837545538,1.7108592696633185,-2.15286054238101,1.7125428487460084,0.4035615558264475,0.6997273022914688,0.4055079462922614,0.3863684002047146,False
MN,-0.7001094691270103,1.7594862040312478,No,Yes,1.7971524070942433,0.2071254831476796,-0.5108432529450732,0.2071674292987343,0.8755324586992239,-0.23235130009429408,0.8758732629832584,-1.271802265627108,-0.4085427645704745,-1.2717243120505541,1.5777274384493305,-0.6561728477610816,1.574303497743424,0.3863684002047146,False
HI,-0.4300639210696553,-0.5101672105171906,No,No,-0.5910858161891493,0.9695217729332422,0.3933897786000817,0.969882831972929,-0.9260680810593842,-0.34093629305087436,-0.9265546362457654,-0.23775800408305162,-0.059679209008367394,-0.23730041889100928,0.6237176588182379,-0.6561728477610816,0.6229582814459663,-1.2226526348583402,False
MN,-1.3874981369093684,-0.5101672105171906,No,No,-0.5910858161891493,0.5765526639463844,-1.4653114529094033,0.5768074359020099,-0.780156676264536,0.20198867173202711,-0.7811206390857512,-0.45816186062730246,0.6380479021158468,-0.45700106876560304,-0.7706043267964362,-0.6561728477610816,-0.7768782511060083,0.3863684002047146,False
VT,0.6255686758818232,1.7594862040312478,No,Yes,1.5076689860901957,-0.05364664447493509,0.1422139365042053,-0.053817589772742744,0.4661699063581231,-0.7752762648771956,0.4657970742697764,2.538918618549196,-1.1062698756946887,2.540997382648121,-0.6238335914685756,1.1516940189756524,-0.6273811456878364,-1.2226526348583402,False
LA,1.28840774838624,-0.5101672105171906,No,No,-0.5910858161891493,0.38278448578235813,-0.058726737172495776,0.38293285030605545,-0.24312164472794304,0.20198867173202711,-0.24229960042733964,-0.07708977220967207,0.9370738068833672,-0.07710202835745164,-0.5137555399726801,-0.20420613107689814,-0.518655978110984,-1.2226526348583402,True
MT,-0.7246590644049516,-0.5101672105171906,No,No,-0.5910858161891493,-0.4013428146384222,0.4436249470192569,-0.40108745188417777,0.2108249479671394,-1.5353712155732577,0.21069153826778492,-0.5281967309310833,-1.405295780462209,-0.530234618723801,0.990644497137889,-0.20420613107689814,0.9899057220178424,-1.2226526348583402,False
ID,-0.6264606832931862,-0.5101672105171906,No,No,-0.5910858161891493,1.2592685814028144,-1.4653114529094033,1.2596294653910587,0.056807354017021715,1.3964235942544103,0.05572088555629517,1.554310736043102,0.4386972989374999,1.5523444582124508,-0.18352138548499405,1.1516940189756524,-0.1788898294333203,0.3863684002047146,True
MA,0.134576770322996,-0.5101672105171906,No,No,-0.5910858161891493,-0.07175582000428336,1.799974494336989,-0.07192675436137604,-0.28162604321547247,-1.3182012296600971,-0.2804462226332449,-1.455128837892887,0.0898337433753928,-1.454808186946049,1.5777274384493305,0.24776058560728534,1.574303497743424,-1.2226526348583402,False
KY,-0.1845679682902417,-0.6774048305365493,No,No,-0.5910858161891493,-0.8558831204250636,-0.10896190559167104,-0.8559470565516093,-0.3910595968116085,0.3105736646886074,-0.3901177614752227,0.9384158471951487,0.0898337433753928,0.939013477312543,0.8071810779780635,2.0556274523440194,0.8132273247054574,-0.41814211732681283,False
MI,-1.632994089688782,1.7594862040312478,No,Yes,1.5076689860901957,1.7953001770715227,0.041743599665854766,1.7954476882194383,-0.014121801091584897,-1.3182012296600971,-0.013419867191907903,-0.25835649534886945,0.6380479021158468,-0.26018590325294644,-0.47706285614071514,0.6997273022914688,-0.47788404026966397,0.3863684002047146,False
CO,0.944713414495061,-0.5101672105171906,No,Yes,1.7247815518432315,-0.6095983332259273,-0.5108432529450732,-0.6098754671413592,-1.4549969234407076,-0.17805880361600393,-1.4558390193527004,0.404914923410466,2.083339775158862,0.4034931432432213,-0.07344333398909912,-1.5601062811294486,-0.07016466185646784,-0.41814211732681283,False
AZ,-0.9701550171843653,-0.5101672105171906,No,No,-0.5910858161891493,-2.233991378208467,1.197152473306886,-2.234374055239329,-0.674776217246035,-2.2411736697910296,-0.6738332641316429,0.2401269932839231,-0.6078933677488214,0.23871765583727636,-0.3302921208128546,-0.6561728477610816,-0.3283869348514921,-0.41814211732681283,False
ID,-0.13546877773435897,-0.6774048305365493,No,No,-0.5910858161891493,1.0419584750506352,1.197152473306886,1.0423194903274615,0.2412231572993994,0.5820361470800581,0.24168566881008355,-1.1626302619182731,-0.9567569233109285,-1.1618739871132573,-0.5871409076366108,0.24776058560728534,-0.5866092078465164,0.3863684002047146,False
CA,-0.6755598738490689,-0.6774048305365493,No,No,-0.5910858161891493,-0.2890659263564626,1.197152473306886,-0.2892367294249732,-0.9058026081712109,-0.7752762648771956,-0.9050971612549437,1.1732386476254717,-1.0065945741055153,1.1724454178042993,-1.5411506872677032,0.24776058560728534,-1.5379544241439749,-0.41814211732681283,False
WA,0.6010190806038819,-0.6774048305365493,No,No,-0.5910858161891493,-0.6440057667316891,-0.5108432529450732,-0.6439633063670215,0.012223313663040646,-1.2096162367035168,0.012805935574651824,0.07533906315738022,0.48853494973208667,0.07394216843133146,1.2474932839616444,-0.6561728477610816,1.2481279950128674,-0.41814211732681283,False
LA,0.4537215089362337,-0.6774048305365493,No,No,-0.5910858161891493,-0.013806458310369106,0.9962117996301849,-0.01333828069226885,0.3141788596968232,-0.12376630713771379,0.3132105854461552,-0.7856778717538065,0.13967139416997953,-0.7865520435774936,-0.6605262753005406,0.24776058560728534,-0.6545624375820495,-0.41814211732681283,False
NE,0.35552312782446827,-0.5101672105171906,No,No,-0.5910858161891493,-1.438998572470078,0.8957414627918343,-1.4386360583152744,0.07707282690519504,-0.5038137824857448,0.07717836054711684,2.0445548281695674,0.239346695759153,2.0466709204302864,-0.07344333398909912,1.1516940189756524,-0.07016466185646784,-0.41814211732681283,False
OH,-0.9210558266284825,-0.6774048305365493,No,No,-0.5910858161891493,0.10209226507745993,0.7450359575343085,0.10170817669434166,-0.9179618919041148,0.907791125949799,-0.9170179806942889,0.5676430044104271,-0.7075686693379949,0.568268630649167,-1.0274531136201916,0.6997273022914688,-1.0215098781539262,-0.41814211732681283,False
MO,-2.369481948027023,1.7594862040312478,No,No,-0.5910858161891493,0.02422281030126216,0.7952711259534838,0.02394529346079946,1.0903464713138609,-1.5353712155732577,1.090448012891475,-0.43550352023490296,-1.056432224900102,-0.4341155844036667,-0.03675065015713415,-1.1081395644452652,-0.04298336996225473,-0.41814211732681283,False
AL,-1.7311924708005475,1.7594862040312478,No,No,-0.5910858161891493,0.8807868128394355,-0.7117839266217743,0.880402254005565,-0.31405079983654965,-0.558106278964035,-0.31382451706341213,-0.9422264053740221,-2.352211145559357,-0.942173337238664,-1.467765319603773,-1.1081395644452652,-1.4700011944084421,-1.2226526348583402,False
NH,-0.9456054219064239,-0.6774048305365493,No,Yes,1.3629272755881718,-0.0029409529927602466,-0.5108432529450732,-0.002685830934249225,-0.6727496699572177,-0.12376630713771379,-0.6738332641316429,-0.7218225488297714,-0.7075686693379949,-0.7224726873640702,0.1100200851707264,0.24776058560728534,0.1065137354559171,0.3863684002047146,False
NM,-1.903039637746137,-0.5101672105171906,No,No,-0.5910858161891493,-1.1401971762358316,-0.7117839266217743,-1.140367465090729,0.1743470967684272,0.03911118229715666,0.17492907994974907,1.4245402410684496,-0.7075686693379949,1.424185745785604,0.07332740133876142,-0.20420613107689814,0.07933244356170399,1.190878917736242,False
OR,-0.9210558266284825,-0.5101672105171906,No,No,-0.5910858161891493,-1.1854701150592022,-0.7117839266217743,-1.185107754074411,-0.4863073193860229,-0.3952287895291645,-0.4854843169899855,-0.35722925342479483,2.482040981515556,-0.3563049375730807,1.394264019289505,-1.1081395644452652,1.3976251004310392,-0.41814211732681283,False
MI,0.6010190806038819,-0.5101672105171906,No,No,-0.5910858161891493,0.35924255759420515,0.09197876808503004,0.3594974608384127,0.5370990614667297,-0.7752762648771956,0.5373219909058489,-0.0935685652223266,0.6380479021158468,-0.09541041584700152,0.4402542396584124,-0.6561728477610816,0.4462798841335807,0.3863684002047146,False
AZ,-0.2336671588461244,-0.5101672105171906,No,No,-0.5910858161891493,1.6178302568839105,-1.5155466213285786,1.6175517772605128,0.5370990614667297,0.4191586576451877,0.5373219909058489,-2.522130685462252,1.0367491084725406,-2.521271758212305,0.22009813666662195,-0.6561728477610816,0.21523890303276955,0.3863684002047146,False
